"NAME"	"LENGTH"	"HEAT"
"Afric"	5	5
"Aji"	7.5	7
"Aji_A"	11.43	7.5
"Aji_C"	3.81	9
"Aji_F"	6	2
"Aji_L"	6.35	7
"Aji_L"	4.5	7
"Aji_M"	11.43	7
"Aji_N"	8.89	6
"Aji_O"	8	7
"Aji_P"	10.16	2
"Aji_P"	1.905	8.5
"Aji_R"	12.7	7
"Aji_V"	6.35	8
"Akola"	4	3
"Amari"	7.62	8
"Anahe"	15	2
"Anahe"	17.78	2.5
"Ancho"	10.16	1
"Ancho"	7.5	4
"Assam"	3	9.5
"Azr"	5	6
"Banan"	10.16	3
"Bedgi"	6.25	3
"Bell_"	15	0
"Berbe"	8.75	3
"Big_J"	20.32	3.5
"Bird"	1.3	8.5
"Bisho"	6.35	6
"Black"	12.7	5.5
"Boliv"	2.54	6
"Bomba"	1.25	4
"Bulga"	8.89	7
"Cabai"	4.445	6
"Calif"	10.16	2.5
"Calor"	10.16	5
"Canti"	6.35	4
"Carib"	3.81	10.5
"Carib"	5.75	6
"Casca"	3.25	4
"Casab"	4	3
"Cayen"	7.5	7
"Charl"	11.43	9.5
"Cherr"	6.35	6.5
"Chile"	8	7
"Chipo"	7.5	5
"Cisco"	5.08	4
"Confe"	1.905	3.5
"de_Ar"	7.62	5
"Dundi"	2.54	7
"Dutch"	12.5	6
"Fajit"	10.16	0.5
"Fatal"	6.35	9
"Garde"	21.59	5
"Georg"	7.62	4
"Goat_"	12.7	4.5
"Guaji"	12.5	3
"Haban"	5	10
"Hunga"	17.78	4
"Hunga"	23	3.5
"Inca_"	8.89	7
"Inca_"	7.62	7
"Infer"	20.32	3
"Jalap"	6.25	5
"Kahar"	5.08	6.5
"Kashm"	5	4
"Kenya"	5	5
"Large"	15.24	6
"Long_"	12.7	4.5
"Louis"	7.62	6.5
"Malib"	1.27	6
"NuMex"	30.5	6
"NuMex"	15.25	4
"Pasil"	19	4
"Pasil"	17.78	0.5
"Pasil"	10.16	6.5
"Patzc"	10.16	5.5
"Penis"	8.75	7.5
"Rocot"	2.5	8
"Sandi"	19.05	5
"Sappo"	12.7	8
"Scotc"	3.67	9.5
"Serra"	3.75	6.5
"Serra"	5.08	7.5
"Tabas"	3.81	9
