Gender,Age,Technical Rank
F,30,2
M,31,3
M,24,1
F,45,
M,25,9
F,51,10
F,44,
M,48,
F,37,8
F,31,
F,30,7
M,31,8
M,24,6
F,45,2
M,25,1
F,51,
F,44,4
M,48,
F,37,3
F,31,5
F,30,
M,31,4
M,24,1
F,45,5
M,25,6
F,51,
F,44,
M,48,
F,37,3
F,31,2
F,30,
M,31,5
M,24,3
F,45,2
M,25,
F,51,
F,44,
M,48,
F,37,1
F,31,4
F,30,
M,31,
M,24,2
F,45,4
M,25,
F,51,
F,44,
M,48,
F,37,1
F,31,3
F,30,
M,31,
M,24,
F,45,
M,25,
F,51,
F,44,
M,48,
F,37,
F,31,
M,31,2
F,31,1
M,40,10
F,63,8
M,19,6
F,41,11
M,31,12
F,45,4
M,25,3
M,31,9
F,40,7
F,43,5
M,31,1
F,31,4
M,40,2
F,63,8
M,19,3
F,41,10
M,31,
F,45,9
M,25,5
M,31,11
F,40,7
F,43,6
M,31,3
F,31,6
M,40,10
F,63,8
M,19,7
F,41,1
M,31,
F,45,5
M,25,4
M,31,
F,40,9
F,43,2
M,31,5
F,31,3
M,40,
F,63,4
M,19,1
F,41,8
M,31,
F,45,2
M,25,7
M,31,
F,40,
F,43,6
M,31,
F,31,4
M,40,
F,63,1
M,19,7
F,41,6
M,31,
F,45,2
M,25,3
M,31,
F,40,
F,43,5
M,31,
F,31,3
M,40,
F,63,5
M,19,
F,41,1
M,31,
F,45,4
M,25,
M,31,
F,40,
F,43,2
M,31,
F,31,1
M,40,
F,63,4
M,19,
F,41,3
M,31,
F,45,2
M,25,
M,31,
F,40,
F,43,
M,31,
F,31,2
M,40,
F,63,
M,19,
F,41,1
M,31,
F,45,3
M,25,
M,31,
F,40,
F,43,
M,63,10
F,27,5
F,45,7
M,21,2
M,23,11
F,27,6
F,36,12
M,43,3
M,38,8
F,28,1
M,26,9
F,50,4
M,63,4
F,27,8
F,45,3
M,21,2
M,23,1
F,27,6
F,36,
M,43,11
M,38,5
F,28,10
M,26,9
F,50,7
M,63,9
F,27,3
F,45,2
M,21,1
M,23,6
F,27,10
F,36,
M,43,
M,38,5
F,28,8
M,26,7
F,50,4
M,63,1
F,27,3
F,45,2
M,21,5
M,23,6
F,27,9
F,36,
M,43,
M,38,7
F,28,4
M,26,8
F,50,
M,63,3
F,27,1
F,45,7
M,21,6
M,23,2
F,27,5
F,36,
M,43,
M,38,8
F,28,4
M,26,
F,50,
M,63,1
F,27,3
F,45,2
M,21,7
M,23,5
F,27,
F,36,
M,43,
M,38,6
F,28,4
M,26,
F,50,
M,63,4
F,27,5
F,45,2
M,21,1
M,23,3
F,27,
F,36,
M,43,
M,38,6
F,28,7
M,26,
F,50,
M,63,2
F,27,5
F,45,4
M,21,1
M,23,3
F,27,
F,36,
M,43,
M,38,
F,28,
M,26,
F,50,
M,63,3
F,27,
F,45,4
M,21,1
M,23,2
F,27,
F,36,
M,43,
M,38,
F,28,
M,26,
F,50,
M,63,2
F,27,
F,45,
M,21,1
M,23,2
F,27,
F,36,
M,43,
M,38,
F,28,
M,26,
F,50,
M,25,11
F,31,8
F,66,3
F,51,9
F,31,7
M,37,4
M,51,6
F,30,10
F,38,2
M,37,5
M,54,1
F,20,12
M,30,13
M,25,9
F,31,11
F,66,4
F,51,8
F,31,2
M,37,7
M,51,10
F,30,1
F,38,12
M,37,6
M,54,5
F,20,3
M,30,
M,25,5
F,31,10
F,66,4
F,51,9
F,31,8
M,37,1
M,51,7
F,30,6
F,38,
M,37,11
M,54,2
F,20,3
M,30,
M,25,8
F,31,2
F,66,7
F,51,
F,31,1
M,37,9
M,51,5
F,30,4
F,38,
M,37,
M,54,3
F,20,6
M,30,
M,25,
F,31,5
F,66,1
F,51,
F,31,3
M,37,2
M,51,8
F,30,7
F,38,
M,37,
M,54,4
F,20,6
M,30,
M,25,
F,31,6
F,66,4
F,51,
F,31,2
M,37,5
M,51,7
F,30,3
F,38,
M,37,
M,54,
F,20,1
M,30,
M,25,
F,31,1
F,66,6
F,51,
F,31,5
M,37,3
M,51,
F,30,4
F,38,
M,37,
M,54,
F,20,2
M,30,
M,25,
F,31,4
F,66,5
F,51,
F,31,3
M,37,
M,51,
F,30,2
F,38,
M,37,
M,54,
F,20,1
M,30,
M,25,
F,31,3
F,66,
F,51,
F,31,2
M,37,
M,51,
F,30,1
F,38,
M,37,
M,54,
F,20,4
M,30,
M,25,
F,31,
F,66,
F,51,
F,31,3
M,37,
M,51,
F,30,1
F,38,
M,37,
M,54,
F,20,2
M,30,
F,35,3
F,31,8
F,69,5
M,39,9
M,31,4
M,32,12
F,41,6
M,42,7
F,17,2
F,60,1
M,66,11
M,38,10
F,35,8
F,31,
F,69,7
M,39,9
M,31,11
M,32,6
F,41,4
M,42,3
F,17,5
F,60,2
M,66,10
M,38,1
F,35,8
F,31,
F,69,7
M,39,
M,31,9
M,32,10
F,41,1
M,42,2
F,17,3
F,60,5
M,66,4
M,38,6
F,35,3
F,31,
F,69,9
M,39,
M,31,6
M,32,
F,41,7
M,42,2
F,17,1
F,60,4
M,66,8
M,38,5
F,35,2
F,31,
F,69,
M,39,
M,31,
M,32,
F,41,3
M,42,6
F,17,1
F,60,4
M,66,5
M,38,7
F,35,2
F,31,
F,69,
M,39,
M,31,
M,32,
F,41,6
M,42,3
F,17,4
F,60,1
M,66,
M,38,5
F,35,6
F,31,
F,69,
M,39,
M,31,
M,32,
F,41,4
M,42,5
F,17,3
F,60,2
M,66,
M,38,1
F,35,1
F,31,
F,69,
M,39,
M,31,
M,32,
F,41,
M,42,2
F,17,5
F,60,3
M,66,
M,38,4
F,35,4
F,31,
F,69,
M,39,
M,31,
M,32,
F,41,
M,42,1
F,17,
F,60,3
M,66,
M,38,2
F,35,
F,31,
F,69,
M,39,
M,31,
M,32,
F,41,
M,42,2
F,17,
F,60,1
M,66,
M,38,3
M,37,2
F,53,5
F,19,6
M,41,8
F,66,3
M,37,7
F,30,12
M,49,10
F,49,9
M,35,11
M,29,4
F,32,1
M,37,6
F,53,1
F,19,2
M,41,3
F,66,11
M,37,5
F,30,9
M,49,10
F,49,4
M,35,
M,29,8
F,32,7
M,37,4
F,53,6
F,19,2
M,41,1
F,66,
M,37,8
F,30,9
M,49,10
F,49,7
M,35,
M,29,3
F,32,5
M,37,9
F,53,
F,19,3
M,41,4
F,66,
M,37,7
F,30,8
M,49,1
F,49,6
M,35,
M,29,5
F,32,2
M,37,8
F,53,
F,19,3
M,41,5
F,66,
M,37,4
F,30,1
M,49,2
F,49,
M,35,
M,29,7
F,32,6
M,37,6
F,53,
F,19,2
M,41,3
F,66,
M,37,1
F,30,4
M,49,5
F,49,
M,35,
M,29,7
F,32,
M,37,
F,53,
F,19,4
M,41,5
F,66,
M,37,6
F,30,1
M,49,2
F,49,
M,35,
M,29,3
F,32,
M,37,
F,53,
F,19,3
M,41,2
F,66,
M,37,
F,30,1
M,49,5
F,49,
M,35,
M,29,4
F,32,
M,37,
F,53,
F,19,1
M,41,3
F,66,
M,37,
F,30,4
M,49,
F,49,
M,35,
M,29,2
F,32,
M,37,
F,53,
F,19,
M,41,2
F,66,
M,37,
F,30,1
M,49,
F,49,
M,35,3
M,29,
F,32,
M,25,12
F,23,6
F,31,5
F,61,7
F,37,4
M,67,11
F,46,9
M,20,3
M,28,8
M,30,1
M,26,2
F,66,10
M,25,4
F,23,3
F,31,8
F,61,2
F,37,1
M,67,
F,46,10
M,20,9
M,28,6
M,30,11
M,26,7
F,66,5
M,25,2
F,23,6
F,31,3
F,61,9
F,37,8
M,67,
F,46,
M,20,7
M,28,10
M,30,5
M,26,4
F,66,1
M,25,4
F,23,1
F,31,2
F,61,3
F,37,7
M,67,
F,46,
M,20,
M,28,9
M,30,8
M,26,5
F,66,6
M,25,6
F,23,5
F,31,2
F,61,1
F,37,
M,67,
F,46,
M,20,
M,28,8
M,30,3
M,26,4
F,66,7
M,25,6
F,23,2
F,31,5
F,61,4
F,37,
M,67,
F,46,
M,20,
M,28,3
M,30,7
M,26,1
F,66,
M,25,1
F,23,3
F,31,2
F,61,4
F,37,
M,67,
F,46,
M,20,
M,28,
M,30,6
M,26,5
F,66,
M,25,2
F,23,4
F,31,1
F,61,5
F,37,
M,67,
F,46,
M,20,
M,28,
M,30,3
M,26,
F,66,
M,25,2
F,23,
F,31,3
F,61,1
F,37,
M,67,
F,46,
M,20,
M,28,
M,30,4
M,26,
F,66,
M,25,1
F,23,
F,31,2
F,61,3
F,37,
M,67,
F,46,
M,20,
M,28,
M,30,
M,26,
F,66,
M,50,12
F,71,9
M,46,2
F,21,3
F,29,1
M,19,8
M,52,10
F,33,5
F,42,11
M,34,6
M,29,7
F,46,4
M,50,11
F,71,10
M,46,3
F,21,4
F,29,8
M,19,7
M,52,
F,33,2
F,42,9
M,34,6
M,29,5
F,46,1
M,50,
F,71,7
M,46,9
F,21,2
F,29,10
M,19,5
M,52,
F,33,6
F,42,1
M,34,3
M,29,4
F,46,8
M,50,
F,71,
M,46,2
F,21,9
F,29,6
M,19,3
M,52,
F,33,4
F,42,1
M,34,7
M,29,5
F,46,8
M,50,
F,71,
M,46,7
F,21,3
F,29,8
M,19,2
M,52,
F,33,1
F,42,4
M,34,5
M,29,
F,46,6
M,50,
F,71,
M,46,
F,21,7
F,29,5
M,19,4
M,52,
F,33,2
F,42,6
M,34,3
M,29,
F,46,1
M,50,
F,71,
M,46,
F,21,
F,29,6
M,19,2
M,52,
F,33,3
F,42,4
M,34,1
M,29,
F,46,5
M,50,
F,71,
M,46,
F,21,
F,29,2
M,19,5
M,52,
F,33,4
F,42,3
M,34,1
M,29,
F,46,
M,50,
F,71,
M,46,
F,21,
F,29,4
M,19,
M,52,
F,33,1
F,42,2
M,34,3
M,29,
F,46,
M,50,
F,71,
M,46,
F,21,
F,29,3
M,19,
M,52,
F,33,2
F,42,
M,34,1
M,29,
F,46,
M,30,12
F,33,2
M,36,4
F,33,11
M,47,5
F,60,6
F,27,10
M,30,8
F,26,3
M,30,7
F,29,1
M,46,9
M,30,9
F,33,5
M,36,3
F,33,
M,47,1
F,60,11
F,27,4
M,30,7
F,26,6
M,30,2
F,29,10
M,46,8
M,30,8
F,33,9
M,36,6
F,33,
M,47,2
F,60,5
F,27,10
M,30,
F,26,3
M,30,4
F,29,7
M,46,1
M,30,
F,33,5
M,36,1
F,33,
M,47,3
F,60,7
F,27,6
M,30,
F,26,8
M,30,4
F,29,2
M,46,
M,30,
F,33,6
M,36,2
F,33,
M,47,7
F,60,9
F,27,4
M,30,
F,26,5
M,30,3
F,29,1
M,46,8
M,30,
F,33,1
M,36,6
F,33,
M,47,2
F,60,
F,27,5
M,30,
F,26,4
M,30,3
F,29,7
M,46,
M,30,
F,33,5
M,36,
F,33,
M,47,4
F,60,
F,27,6
M,30,
F,26,2
M,30,1
F,29,3
M,46,
M,30,
F,33,1
M,36,
F,33,
M,47,
F,60,
F,27,2
M,30,
F,26,4
M,30,5
F,29,3
M,46,
M,30,
F,33,3
M,36,
F,33,
M,47,
F,60,
F,27,2
M,30,
F,26,
M,30,4
F,29,1
M,46,
M,30,
F,33,
M,36,
F,33,
M,47,
F,60,
F,27,1
M,30,
F,26,
M,30,2
F,29,3
M,46,
F,29,5
F,24,4
M,32,10
M,36,9
F,40,12
M,20,1
M,20,13
M,26,11
F,35,6
M,56,8
F,34,7
F,28,2
F,28,3
F,29,1
F,24,9
M,32,
M,36,2
F,40,12
M,20,6
M,20,11
M,26,4
F,35,8
M,56,3
F,34,7
F,28,5
F,28,10
F,29,7
F,24,11
M,32,
M,36,2
F,40,8
M,20,1
M,20,
M,26,6
F,35,5
M,56,10
F,34,4
F,28,9
F,28,3
F,29,8
F,24,
M,32,
M,36,2
F,40,9
M,20,3
M,20,
M,26,7
F,35,5
M,56,6
F,34,10
F,28,4
F,28,1
F,29,6
F,24,
M,32,
M,36,9
F,40,1
M,20,3
M,20,
M,26,8
F,35,7
M,56,
F,34,2
F,28,5
F,28,4
F,29,1
F,24,
M,32,
M,36,2
F,40,
M,20,4
M,20,
M,26,6
F,35,
M,56,
F,34,7
F,28,5
F,28,3
F,29,6
F,24,
M,32,
M,36,2
F,40,
M,20,3
M,20,
M,26,5
F,35,
M,56,
F,34,
F,28,1
F,28,4
F,29,3
F,24,
M,32,
M,36,1
F,40,
M,20,5
M,20,
M,26,
F,35,
M,56,
F,34,
F,28,2
F,28,4
F,29,4
F,24,
M,32,
M,36,2
F,40,
M,20,
M,20,
M,26,
F,35,
M,56,
F,34,
F,28,1
F,28,3
F,29,2
F,24,
M,32,
M,36,1
F,40,
M,20,
M,20,
M,26,
F,35,
M,56,
F,34,
F,28,
F,28,3
M,30,9
F,39,5
F,31,6
F,61,12
F,27,10
F,31,4
M,51,8
M,51,11
M,32,7
M,20,2
M,55,3
F,31,1
M,30,1
F,39,5
F,31,7
F,61,4
F,27,
F,31,8
M,51,3
M,51,9
M,32,2
M,20,10
M,55,11
F,31,6
M,30,9
F,39,7
F,31,6
F,61,1
F,27,
F,31,5
M,51,
M,51,2
M,32,3
M,20,4
M,55,10
F,31,7
M,30,8
F,39,5
F,31,2
F,61,1
F,27,
F,31,9
M,51,
M,51,6
M,32,3
M,20,4
M,55,
F,31,7
M,30,5
F,39,2
F,31,6
F,61,8
F,27,
F,31,4
M,51,
M,51,7
M,32,3
M,20,1
M,55,
F,31,
M,30,3
F,39,4
F,31,7
F,61,
F,27,
F,31,2
M,51,
M,51,6
M,32,5
M,20,1
M,55,
F,31,
M,30,6
F,39,1
F,31,4
F,61,
F,27,
F,31,5
M,51,
M,51,3
M,32,
M,20,2
M,55,
F,31,
M,30,5
F,39,3
F,31,1
F,61,
F,27,
F,31,
M,51,
M,51,2
M,32,
M,20,4
M,55,
F,31,
M,30,3
F,39,2
F,31,4
F,61,
F,27,
F,31,
M,51,
M,51,
M,32,
M,20,1
M,55,
F,31,
M,30,1
F,39,
F,31,3
F,61,
F,27,
F,31,
M,51,
M,51,
M,32,
M,20,2
M,55,
F,31,
