"","subject","trial","vocoded","mean_pupil"
"1","EYE15",3,"V6",0.0839555375130196
"2","EYE15",4,"V6",0.0141082886696872
"3","EYE15",5,"V6",0.0224966767644798
"4","EYE15",6,"V6",0.000742427919006774
"5","EYE15",7,"V6",0.0242539575789429
"6","EYE15",8,"V6",0.0267617167287105
"7","EYE15",9,"V6",-0.0112858157484397
"8","EYE15",10,"V6",0.00877282858679645
"9","EYE15",11,"V6",0.0334228590832823
"10","EYE15",12,"V6",0.000217625587611015
"11","EYE15",13,"V6",0.00313291036024251
"12","EYE15",14,"V6",0.0371766623580598
"13","EYE15",15,"V6",0.0111515392939784
"14","EYE15",17,"V6",0.00084610178186518
"15","EYE15",18,"V6",0.0459531841069968
"16","EYE15",19,"V6",0.0139676652298685
"17","EYE15",36,"NS",0.0140979080368462
"18","EYE15",37,"NS",0.0416985191603286
"19","EYE15",38,"NS",0.105276722555572
"20","EYE15",39,"NS",0.0010491111583561
"21","EYE15",40,"NS",0.065351771586528
"22","EYE15",41,"NS",-0.04131944413825
"23","EYE15",42,"NS",-0.0251540047769095
"24","EYE15",43,"NS",-0.0107017019358696
"25","EYE15",44,"NS",-0.0239890581850341
"26","EYE15",45,"NS",0.00260435626866592
"27","EYE15",46,"NS",0.0302954878816275
"28","EYE15",47,"NS",0.0319434424577147
"29","EYE15",48,"NS",0.0300250823007354
"30","EYE15",68,"V6",0.0448722808007154
"31","EYE15",69,"V6",-0.0288005877847426
"32","EYE15",70,"V6",0.065943003585231
"33","EYE15",71,"V6",0.0229628438853144
"34","EYE15",72,"V6",-0.0421203640374001
"35","EYE15",73,"V6",0.0062507278604698
"36","EYE15",74,"V6",0.0375020560588759
"37","EYE15",75,"V6",-0.0196702718273487
"38","EYE15",76,"V6",0.0175254306166219
"39","EYE15",77,"V6",0.00186844065577763
"40","EYE15",78,"V6",0.042949278193415
"41","EYE15",89,"V6",0.0298597506000711
"42","EYE15",90,"V6",-0.0295578863613129
"43","EYE15",91,"V6",0.0362512485240603
"44","EYE15",92,"V6",0.00761998900626554
"45","EYE15",97,"V6",0.0130803962334653
"46","EYE15",98,"V6",-0.000757546548039489
"47","EYE15",99,"V6",0.0702081668735326
"48","EYE15",100,"NS",-0.00607475526069895
"49","EYE15",101,"NS",-0.0302199396805377
"50","EYE15",102,"NS",0.0241333430497696
"51","EYE15",103,"NS",-0.0546178839320726
"52","EYE15",104,"NS",0.00622234325857796
"53","EYE15",105,"NS",0.0338424433728378
"54","EYE15",106,"NS",-0.0218943669186336
"55","EYE15",107,"NS",-0.0078538813680738
"56","EYE15",108,"NS",-0.0373114552853554
"57","EYE15",109,"NS",-0.0329221579736974
"58","EYE15",110,"NS",-0.0206954233222999
"59","EYE15",111,"NS",0.0546446828635374
"60","EYE15",112,"NS",-0.0155446103919379
"61","EYE15",113,"NS",-0.0367138964416859
"62","EYE15",114,"NS",0.0254584748216384
"63","EYE15",115,"NS",0.0706602207074001
"64","EYE15",117,"NS",-0.0335804625812313
"65","EYE15",118,"NS",0.00350719797857358
"66","EYE15",119,"NS",-0.0392226284536037
"67","EYE15",120,"NS",0.00299560928779007
"68","EYE15",121,"NS",-0.013387292444181
"69","EYE15",124,"NS",-0.019056800863438
"70","EYE15",125,"NS",-0.0153574697571513
"71","EYE15",126,"NS",-0.0070804265725947
"72","EYE15",127,"NS",-0.0160969577695355
"73","EYE15",128,"NS",0.0581277788207038
"74","EYE15",132,"V6",0.0320456050447957
"75","EYE15",133,"V6",0.0245619562817419
"76","EYE15",134,"V6",0.0016385192004957
"77","EYE15",135,"V6",0.0391892712093323
"78","EYE15",136,"V6",-6.6858517618715e-05
"79","EYE15",137,"V6",-0.00759939715493801
